Номер,Название,Город,Адрес,Период,Иконка,Состояние
661610702900005,"Здание бывшей типографии ""Гранит""",Екатеринбург,"г. Екатеринбург, ул. Вайнера, д. 11",с 1900 до 1920,Домик,Хорошее
661610728850005,Амбар четырехкамерный,Гаринский городской округ,"Гаринский городской округ, р.п. Гари, ул. Октябрьская, д. 52",с 1880 до 1900,Амбар,Не доступен
661610728860005,"Дом, в котором в 1879 г. родился и провел детские годы писатель П.П. Бажов",Сысерть,"г. Сысерть, ул. Володарского, д. 16",с 1850 до 1880,Изба,Хорошее
661610731480006,Здание Консистории,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 26",с 1800 до 1850,Дворец,Хорошее
661610731530006,"Жилой комплекс ""2 Дом Советов""",Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 2",с 1920 до 1940,Многоэтажка,Хорошее
661610731590005,Деловой дом,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 8-б",с 1920 до 1940,Многоэтажка,Хорошее
661610731680005,Дом мещанки Д.Я. Симановой,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 12",с 1800 до 1850,Домик,Удовлетворительное
661610731740005,Дом жилой с лавкой на первом этаже,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 19",с 1800 до 1850,Домик,Удовлетворительное
661610731900005,Особняк с элементами неоготики,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 20",с 1850 до 1880,Домик,Хорошее
661610731910005,Дом купца Соснина,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 22",с 1850 до 1880,Домик,Хорошее
661610732120005,Дом Рязанова И.Д.,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 25",с 1850 до 1880,Домик,Хорошее
661610732220005,Лавка,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 27",с 1850 до 1880,Домик,Удовлетворительное
661610732300005,Дом жилой,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 29",с 1850 до 1880,Домик,Удовлетворительное
661610732320005,Дом мещанина К.А. Чудинова,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 30",с 1800 до 1850,Домик,Удовлетворительное
661610732330005,Дом Яковлева В.А.,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 31",с 1880 до 1900,Домик,Хорошее
