Номер,Название,Город,Адрес,Период,Иконка,Состояние
661711097660035,Здание вокзала,Екатеринбург,"г. Екатеринбург, ул. Вокзальная, д. 14",с 1940 до 1960,Домик,Хорошее
661711097670026,Жилой дом,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 52-54",с 1920 до 1940,Многоэтажка,Плохое
661711097670036,Жилой дом,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 52-54",с 1920 до 1940,Многоэтажка,Плохое
661711097670046,Жилой дом,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 52-54",с 1920 до 1940,Многоэтажка,Плохое
661711097670056,Детские ясли,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 52-54",с 1920 до 1940,Многоэтажка,Удовлетворительное
661711097670066,Детский сад,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 52-54",с 1920 до 1940,Домик,Хорошее
661711097670076,Больница,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 52-54",с 1920 до 1940,Многоэтажка,Хорошее
661711097670086,Жилой дом,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 52-54",с 1920 до 1940,Многоэтажка,Плохое
661711097680015,Здание служб,Екатеринбург,"г. Екатеринбург, ул. Сакко и Ванцетти, д. 41",с 1880 до 1900,Домик,Удовлетворительное
661711097680025,Флигель,Екатеринбург,"г. Екатеринбург, ул. Сакко и Ванцетти, д. 41",с 1880 до 1900,Домик,Хорошее
661711097680035,Корпус учебный,Екатеринбург,"г. Екатеринбург, пр. Ленина, д.13б / ул. Маршала Жукова, д. 1",с 1880 до 1900,Домик,Хорошее
661711097680045,Ворота,Екатеринбург,"г. Екатеринбург, пр. Ленина, 13",с 1880 до 1900,Ворота,Хорошее
661711097680055,Здание пансиона с домовой церковью,Екатеринбург,"г. Екатеринбург, пр. Ленина, 13 / ул. Сакко и Ванцетти, д. 41",с 1880 до 1900,Церковь,Хорошее
661711097690015,Флигель,Екатеринбург,"г. Екатеринбург, ул. Горького, д. 15/ул. Первомайская, д. 1",с 1850 до 1880,Домик,Плохое
661711097690025,Лаборатория,Екатеринбург,"г. Екатеринбург, ул. Горького, д. 15 / ул. Первомайская, д. 1",с 1850 до 1880,Дворец,Плохое
661711097690035,Ограда с воротами,Екатеринбург,"г. Екатеринбург, ул. Горького, д. 15 / ул. Первомайская, д. 1",с 1850 до 1880,Ворота,Плохое
661711097690045,Дом жилой,Екатеринбург,"г. Екатеринбург, ул. Горького, д. 15 / ул. Первомайская, д. 1",с 1850 до 1880,Домик,Плохое
661711097700005,"Дом, где в 1935 г. родился и провел детские годы художник А.И. Корзухин",Екатеринбург,"г. Екатеринбург, ул. Гастелло, д. 42",с 1800 до 1850,Изба,Руины
661711097710005,Дом жилой,Екатеринбург,"г. Екатеринбург, ул. Куйбышева, д. 24 / 127",с 1850 до 1880,Домик,Не существует
661711097720015,Дом жилой,Утрачен,Утрачен,с 1940 до 1960,Домик,Не доступен
661711097720025,Дом жилой,Екатеринбург,"г. Екатеринбург, ул. Большакова, д. 84",с 1940 до 1960,Изба,Руины
661711097720035,Дом жилой,Екатеринбург,"г. Екатеринбург, ул. Большакова, д. 82",с 1940 до 1960,Изба,Плохое
661711097720045,Дом жилой,Екатеринбург,"г. Екатеринбург, ул. Большакова, д. 86",с 1940 до 1960,Изба,Удовлетворительное
661711097730015,Флигель,Екатеринбург,"г. Екатеринбург, ул. Хохрякова, д. 1",с 1850 до 1880,Домик,Хорошее
661711097730025,Хозпостройки,Екатеринбург,"г. Екатеринбург, ул. Хохрякова, д. 1",с 1850 до 1880,Домик,Хорошее
661711097740005,Усадьба торгового дома А.И. Захо: дом жилой,Екатеринбург,"г. Екатеринбург, ул. Вайнера, д. 3/5",с 1940 до 1960,Домик,Не существует
661711097750015,Ограда кирпичная,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 6",с 1880 до 1900,Ворота,Хорошее
661711097750025,Здание банка,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 6, литер Б",с 1800 до 1850,Домик,Хорошее
661711097750035,Ворота,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 6",с 1880 до 1900,Ворота,Хорошее
661711097750045,Здание банка,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 6",с 1880 до 1900,Домик,Удовлетворительное
661711097760016,Спортивный зал,Екатеринбург,"г. Екатеринбург, ул. Кузнечная, д. 91а",с 1920 до 1940,Домик,Хорошее
661711097760026,Жилой дом,Екатеринбург,"г. Екатеринбург, ул. Кузнечная, д. 91",с 1920 до 1940,Многоэтажка,Удовлетворительное
661711097760036,Жилой дом,Екатеринбург,"г. Екатеринбург, ул. Первомайская, д. 44",с 1920 до 1940,Многоэтажка,Удовлетворительное
661711097760046,Столовая,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 71",с 1920 до 1940,Домик,Хорошее
661711097760056,Штаб УРАЛВО,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 71",с 1920 до 1940,Многоэтажка,Хорошее
661711097770025,Ворота,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 11",с 1800 до 1850,Ворота,Хорошее
661711097770035,Флигель,Екатеринбург,"г. Екатеринбург, ул. Сакко и Ванцетти, д. 42",с 1850 до 1880,Домик,Хорошее
661711097770045,Угловой флигель,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 11",с 1850 до 1880,Домик,Не существует
661711097770055,Ограда,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 11",с 1850 до 1880,Ворота,Удовлетворительное
661711097770065,Дом маркшейдера гиттен-фервалтера И.В. Полкова,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 11",с 1800 до 1850,Домик,Хорошее
661711097780015,Ворота и ограда,Екатеринбург,"г. Екатеринбург, ул. Добролюбова, д. 9, 9-а",с 1850 до 1880,Ворота,Плохое
661711097780045,Двухэтажный каменный жилой дом,Екатеринбург,"г. Екатеринбург, ул. Добролюбова, д. 9",с 1850 до 1880,Домик,Хорошее
661711097780055,Двухэтажный полукаменный флигель,Екатеринбург,"г. Екатеринбург, ул. Добролюбова, д. 9",с 1850 до 1880,Домик,Удовлетворительное
661711097790006,Здание заводоуправления Верх-Исетского завода,Екатеринбург,"Свердловскапя область, г. Екатеринбург, на территории Верх-Исетского завода",с 1800 до 1850,Завод,Не доступен
661711097800005,Дом Шевкуновой Е.И.,Екатеринбург,"г. Екатеринбург, ул. Розы Люксембург, д. 51",с 1800 до 1850,Домик,Не существует
661711097810015,Двое ворот,Екатеринбург,"г. Екатеринбург, ул. Пушкина, стр. 3",с 1880 до 1900,Домик,Хорошее
661711097810025,Двухэтажное здание гостиницы в духе эклектики,Екатеринбург,"г. Екатеринбург, ул. Пушкина, стр. 3",с 1880 до 1900,Домик,Хорошее
661711097810035,Служебное здание в стиле модерн,Екатеринбург,"г. Екатеринбург, ул. Пушкина, стр. 3",с 1900 до 1920,Домик,Хорошее
661711097820015,I заводская электростанция,Нижний Тагил,"г. Нижний Тагил, территория НТМК",с 1900 до 1920,Завод,Не доступен
661711097820025,I советская электростанция,Нижний Тагил,"г. Нижний Тагил, территория НТМК",с 1900 до 1920,Домик,Не доступен
661711097830005,Церковь,Гаринский район,"Гаринский район, д. Кошмаки",с 1900 до 1920,Церковь,Не доступен
661711097840005,Здание магазина Мещерякова,Камышлов,"г. Камышлов, ул. Карла Маркса, д. 35а",с 1880 до 1900,Домик,Хорошее
661711097850005,"Дом, в котором жил комсомолец Петр Пуртов, геройски погибший под Мадридом в Испании в 1939 г.",Камышлов,"г. Камышлов, ул. Пролетарская, д. 9",с 1920 до 1940,Изба,Хорошее
661711097860005,"Дом, в котором жил первый председатель Каменского Совета рабочих и солдатских депутатов Я.Ф. Прокопьев",Каменск-Уральский,"г. Каменск-Уральский, ул. Прокопьева, д. 26",период не определен,Домик,Не существует
661711097870015,Изба кучерская,Каменск-Уральский,"г. Каменск-Уральский, ул. Пионерская, д. 8, строение 1",с 1880 до 1900,Изба,Удовлетворительное
661711097870025,Дом жилой,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 117",с 1850 до 1880,Домик,Удовлетворительное
661711097890006,"Дом, в котором в 1859-1867 гг. жил Попов Александр Степанович",Краснотурьинск,"г. Краснотурьинск, ул. Попова, д. 70",с 1850 до 1880,Изба,Хорошее
661711097900005,Жилой дом,Реж,"г. Реж, ул. Советская, д. 25",с 1900 до 1920,Домик,Руины
661711249450026,Доменная печь,Билимбай,"г. Первоуральск, р.п. Билимбай",до 1800,Дворец,Руины
661711249450036,Доменная печь,Билимбай,"г. Первоуральск, р.п. Билимбай",до 1800,Дворец,Плохое
661711249450046,Литейный двор,Билимбай,"г. Первоуральск, р.п. Билимбай",до 1800,Домик,Руины
661711249450056,Помещение воздуходувной машины2,Билимбай,"г. Первоуральск, р.п. Билимбай",до 1800,Домик,Не существует
661711249450066,Вагранка,Билимбай,"г. Первоуральск, р.п. Билимбай",до 1800,Домик,Не существует
661711249450076,Помещение воздуходувной машины,Билимбай,"г. Первоуральск, р.п. Билимбай",до 1800,Домик,Не существует
661711249450086,Плотина с эстакадой,Билимбай,"г. Первоуральск, р.п. Билимбай",до 1800,Мост,Руины
661711249600005,Дом двухэтажный кирпичный,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 56",с 1850 до 1880,Домик,Хорошее
661711249630006,Решетка плотины городского пруда,Екатеринбург,"г. Екатеринбург, пр. Ленина",с 1800 до 1850,Домик,Не доступен
661711249740016,Собор,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д.87",с 1800 до 1850,Церковь,Ансамбль
661711249740026,Ограда,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 87",с 1800 до 1850,Ворота,Ансамбль
661711249760005,"Госпиталь Екатеринбургского завода, где состоялось первое театрализованное представление",Екатеринбург,"г. Екатеринбург, ул. Воеводина, д. 5",до 1800,Завод,Хорошее
661711249810015,Доменная печь № 1,Нижний Тагил,"г. Нижний Тагил, металлургический комбинат",с 1940 до 1960,Домик,Не доступен
661711249810025,Бандажный (ныне прокатный № 1) цех,Нижний Тагил,"г. Нижний Тагил, металлургический комбинат",с 1920 до 1940,Завод,Не доступен
661711249840016,Ограда,Верхотурье,г. Верхотурье,до 1800,Ворота,Удовлетворительное
661711249840026,Ворота,Верхотурье,г. Верхотурье,до 1800,Ворота,Удовлетворительное
661711249840036,Дом воеводы,Верхотурье,г. Верхотурье,до 1800,Домик,Удовлетворительное
661711249840046,"Собор Троицы, колокольня",Верхотурье,г. Верхотурье,до 1800,Церковь,Удовлетворительное
661711249940015,Жилой дом,Верхотурье,"г. Верхотурье, ул. Ершова, д. 4",период не определен,Изба,Удовлетворительное
661711250030005,Амбар шестикамерный,Утрачен,Утрачен,с 1850 до 1880,Амбар,Не доступен
661711250040005,Баня-пятистенка,Утрачен,Утрачен,с 1800 до 1850,Амбар,Не доступен
661711290440005,"Здание заводской лаборатории, театра и склада",Билимбай,"г. Первоуральск, п. Билимбай, ул. Ленина, д. 86а, лит. В, В1, В2",с 1800 до 1850,Завод,Руины
661711290450005,Склад,Билимбай,"г. Первоуральск, п. Билимбай, ул. Ленина, д. 86а, лит. Б, Б1, Б2",с 1800 до 1850,Амбар,Плохое
661711293200015,Жилой дом,Екатеринбург,"г. Екатеринбург, Сибирский тракт, 14 км",с 1900 до 1920,Домик,Не доступен
661711293200025,Ворота,Екатеринбург,"г. Екатеринбург, Сибирский тракт, 14 км",с 1900 до 1920,Ворота,Не доступен
661711298450005,Могила селекционера-биохимика Л.И. Вигорова,Екатеринбург,"г. Екатеринбург, Нижнеисетское кладбище",после 1960,Монумент,Не доступен
661711298470015,Амбары,Верхотурье,"г. Верхотурье, ул. Советская, д. 8 ""А""",с 1850 до 1880,Амбар,Удовлетворительное
661711304260004,Здание земской школы,Верхний Тагил,"г. Верхний Тагил, ул. Чапаева, д. 3",с 1900 до 1920,Домик,Удовлетворительное
661711305260006,Амбар (деревянный),Верхотурье,"г. Верхотурье, ул. Ершова, д. 4 ""А""",с 1800 до 1850,Амбар,Плохое
661711306020005,Корпус жилой,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 87",с 1850 до 1880,Домик,Не доступен
661711306030005,Корпус главный,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 87",с 1850 до 1880,Домик,Хорошее
661711306040005,Завод свечной,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 87",с 1850 до 1880,Завод,Удовлетворительное
661711306050005,Кельи западные,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 87",с 1850 до 1880,Домик,Не доступен
661711306060005,"Амбар хлебный (пекарня, церковно-приходская школа)",Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 87",с 1850 до 1880,Церковь,Ансамбль
661711306070005,Постройки хозяйственные,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 87",с 1850 до 1880,Домик,Не доступен
661711306080005,Конюшня,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 87",с 1850 до 1880,Домик,Не доступен
661711306090005,Корпус рукодельный,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 87",с 1850 до 1880,Домик,Не доступен
661711306100005,Церковь Всех Святых,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 87",с 1850 до 1880,Церковь,Не доступен
661711306110005,Корпус жилой,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 87",с 1850 до 1880,Домик,Плохое
661711306120005,Флигель,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 87",с 1850 до 1880,Домик,Хорошее
661711306130005,Богадельня и больница,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 87",с 1850 до 1880,Домик,Не доступен
661720747680005,Детское убежище Екатеринбургского благотворительного общества. Комплекс,Екатеринбург,"г. Екатеринбург, ул. Луначарского, д. 177",с 1800 до 1850,Ансамбль,Ансамбль
661720751400005,Женская гимназия,Ирбит,"г. Ирбит, ул. Карла Маркса, д. 37",с 1880 до 1900,Ансамбль,Ансамбль
661720751520005,Усадьба купца Е.В. Старикова,Екатеринбург,"г. Екатеринбург, ул. Шейнкмана, д. 42",с 1850 до 1880,Ансамбль,Не доступен
661720755240006,"Комплекс зданий ""Городок чекиста""",Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 69",с 1920 до 1940,Ансамбль,Ансамбль
661720757850005,Комплекс на городском кладбище,Красноуфимск,"г. Красноуфимск, Транспортная, д. 1, 1 а",с 1800 до 1850,Ансамбль,Ансамбль
661720760420006,Усадьба Ошуркова,Екатеринбург,"г. Екатеринбург, ул. Чапаева, д. 3",с 1850 до 1880,Ансамбль,Ансамбль
661720760430006,Усадьба Давыдовых,Екатеринбург,"г. Екатеринбург, ул. Чапаева, д. 5",с 1800 до 1850,Ансамбль,Ансамбль
661720761350005,Городок юстиции,Екатеринбург,"г. Екатеринбург, ул. Малышева",с 1920 до 1940,Ансамбль,Ансамбль
661720763600005,Глазная лечебница имени А.А. Миславского,Екатеринбург,"г. Екатеринбург, ул. Челюскинцев, д. 3 / пер. Северный, д. 2",с 1900 до 1920,Ансамбль,Ансамбль
661720764380005,Бывшая усадьба Железнова,Екатеринбург,"г. Екатеринбург, ул. Розы Люксембург, д. 56",с 1880 до 1900,Ансамбль,Ансамбль
661720764420005,Усадьба Ошуркова М.М.,Екатеринбург,"г. Екатеринбург, ул. Чапаева, д. 10",период не определен,Ансамбль,Ансамбль
661720764930006,Дом Рязанова,Екатеринбург,"г. Екатеринбург, ул. Куйбышева, д. 40",с 1850 до 1880,Ансамбль,Плохое
661720765680005,Усадьба П.М. Утякова,Екатеринбург,"г. Екатеринбург, ул. Клары Цеткин, д. 1",с 1900 до 1920,Ансамбль,Ансамбль
661720765800005,Дом Бухонина И.Л. и лавка,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 24",с 1850 до 1880,Ансамбль,Хорошее
661720770820005,Комплекс медопивоваренного завода Гребенькова и Холкина,Екатеринбург,"г. Екатеринбург, ул. Розы Люксембург, д. 62",с 1850 до 1880,Ансамбль,Ансамбль
661720770840005,Усадьба,Екатеринбург,"г. Екатеринбург, ул. Розы Люксембург, д. 62",период не определен,Ансамбль,Ансамбль
661720772240005,Комплекс зданий бывшего медопивоваренного завода,Екатеринбург,"г. Екатеринбург, ул. Шарташская, д. 13",с 1880 до 1900,Ансамбль,Не существует
661720774060005,Усадьба И.Д. Баландина,Екатеринбург,"г. Екатеринбург, ул. Чапаева, д. 7",с 1850 до 1880,Ансамбль,Ансамбль
661720774060015,Территория сада,Екатеринбург,"г. Екатеринбург, ул. Чапаева, д. 7",с 1850 до 1880,Ансамбль,Не существует
661720775230005,"Усадьба Я.И. Панфилова, бывшая палата мер и весов",Екатеринбург,"г. Екатеринбург, ул. Розы Люксембург, д. 65-67",с 1800 до 1850,Ансамбль,Ансамбль
661720775660005,Усадьба С.А. Строганова,Екатеринбург,"г. Екатеринбург, ул. Карла Либкнехта, д. 5",с 1800 до 1850,Ансамбль,Ансамбль
661720776870005,"Комплекс зданий общества ""Красного Креста""",Екатеринбург,"г. Екатеринбург, ул. Московская, д. 19",период не определен,Ансамбль,Ансамбль
661720777590005,Загородная усадьба Самарцева,Екатеринбург,"г. Екатеринбург, ул. Розы Люксембург, д. 54",с 1850 до 1880,Ансамбль,Ансамбль
661720784240006,Дом Демидова и здание музея,Нижний Тагил,"г. Нижний Тагил, пр. Ленина, д. 1",до 1800,Ансамбль,Ансамбль
661720787850005,Дом и магазин Балыкова,Нижний Тагил,"г. Нижний Тагил, ул. Карла Маркса, д. 27",период не определен,Ансамбль,Плохое
661720801110005,Комплекс жилых домов,Екатеринбург,"г. Екатеринбург, Верх-Исетский бульвар, д. 18-20",с 1940 до 1960,Ансамбль,Ансамбль
661720801120005,Дачи управления садово-паркового хозяйства,Екатеринбург,"г. Екатеринбург, ул. Отдыха",с 1900 до 1920,Ансамбль,Не доступен
661720817730005,Улица Красной Армии от ул. Р. Люксембург до ул. Чайковского с существующей застройкой,Алапаевск,"г. Алапаевск, ул. Красной Армии",с 1900 до 1920,Ансамбль,Ансамбль
661720817760005,Реальное училище,Верхотурье,"г. Верхотурье, ул. Сенянского, д. 12, 12 б",с 1900 до 1920,Ансамбль,Ансамбль
661720817760015,Парк,Верхотурье,"г. Верхотурье, ул. Сенянского, д. 12 ""Б""",с 1900 до 1920,Ансамбль,Хорошее
661720817770005,Ансамбль Верхотурского вокзала,Верхотурье,"г. Верхотурье, пос. Привокзальный",с 1900 до 1920,Ансамбль,Ансамбль
661720820870005,Монастырь Скорбященский женский,Нижний Тагил,"г. Нижний Тагил, ул. Красногвардейская, д. 55",с 1900 до 1920,Ансамбль,Хорошее
661720820900005,"Комплекс ""Соцгород Трубный""",Каменск-Уральский,г. Каменск-Уральский,с 1920 до 1940,Ансамбль,Ансамбль
661720821330005,"Комплекс домов по ул. Ильича, построенные в духе советского конструктивизма",Нижний Тагил,"г. Нижний Тагил, ул. Ильича, д. 2, 4, 6, 8",с 1920 до 1940,Ансамбль,Ансамбль
661720821350005,Усадьба Антипина П.А.,Екатеринбург,"г. Екатеринбург, ул. Октябрьской революции, д. 52",с 1850 до 1880,Ансамбль,Ансамбль
661720829440005,Ансамбль,Верхотурский район,"Верхотурский район, с. Меркушино, ул. Центральная, д. 9е",с 1850 до 1880,Ансамбль,Не доступен
661720842520006,Усадьба Расторгуева-Харитонова,Екатеринбург,"г. Екатеринбург, ул. Карла Либкнехта, д. 44",с 1800 до 1850,Ансамбль,Ансамбль
661720891990005,Екатеринбургская художественно-промышленная школа,Екатеринбург,"г. Екатеринбург, ул. Карла Либкнехта, д. 42",с 1900 до 1920,Ансамбль,Ансамбль
661720892020005,"Сад Алапаевского металлургического завода, где в 1921 г. выступал М.И. Калинин",Алапаевск,"г. Алапаевск, сад металлургического завода",с 1920 до 1940,Ансамбль,Удовлетворительное
661720917120005,Институт физиотерапии и профзаболеваний,Екатеринбург,"г. Екатеринбург, ул. Московская, д. 12, ул. Московская, д. 14, ул. Репина, д. 2",с 1920 до 1940,Ансамбль,Ансамбль
661720917130005,Городская усадьба купца Е.А. Деласье,Екатеринбург,"г. Екатеринбург, ул. Горького, д. 34",с 1850 до 1880,Ансамбль,Ансамбль
661720917140005,Дом Рязанова,Екатеринбург,"г. Екатеринбург, ул. Добролюбова, строение 11",с 1800 до 1850,Ансамбль,Ансамбль
661720917180005,Усадьба,Верхотурье,"г. Верхотурье, ул. Крестьянская, д. 14",с 1880 до 1900,Ансамбль,Ансамбль
661720917250005,Комплекс домов бывшего переселенного участка,Гаринский район,"Гаринский район, с. Андрюшино",с 1900 до 1920,Ансамбль,Не доступен
661720917280006,Система гидротехнических сооружений,Алапаевск,"г. Алапаевск, Нейво-Шайтанский металлургический завод",с 1800 до 1850,Ансамбль,Не доступен
661720943810005,Усадьба купца С.Е. Тупикова,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 29, 31 / ул. 8 Марта, д. 6, 8",с 1900 до 1920,Ансамбль,Ансамбль
661720943820006,"Спортивный комплекс ""Динамо""",Екатеринбург,"г. Екатеринбург, ул. Еремина, д. 12",с 1920 до 1940,Ансамбль,Ансамбль
661720943830005,Усадьба Жолобова,Екатеринбург,"г. Екатеринбург, ул. Октябрьской революции, д. 35",с 1850 до 1880,Ансамбль,Ансамбль
661720943840005,Усадьба первого на Урале садовода-селекционера Д.И. Казанцева,Екатеринбург,"г. Екатеринбург, ул. Октябрьской революции, д. 40",с 1900 до 1920,Ансамбль,Ансамбль
661720943840025,Плодовый сад,Екатеринбург,"г. Екатеринбург, ул. Октябрьской революции, д. 40",с 1900 до 1920,Ансамбль,Хорошее
661720943850005,"Здания ""Товарищества электрического освещения Андрей Елтышев и К""",Екатеринбург,"г. Екатеринбург, ул. Горького, д. 43",с 1880 до 1900,Ансамбль,Ансамбль
661720943890005,Ансамбль градостроительный,Екатеринбург,"г. Екатеринбург, ул. Свердлова",с 1940 до 1960,Ансамбль,Ансамбль
661720943940006,Комплекс зданий площади Первой пятилетки,Екатеринбург,"г. Екатеринбург, пл. Первой пятилетки",с 1920 до 1940,Ансамбль,Ансамбль
661720943950005,Институт политехнический. Комплекс учебных зданий,Екатеринбург,"г. Екатеринбург, ул. Мира 21, 28",с 1940 до 1960,Ансамбль,Ансамбль
661720944190005,Городская усадьба,Екатеринбург,"г. Екатеринбург, ул. Сакко и Ванцетти, д. 115",с 1880 до 1900,Ансамбль,Ансамбль
661720944210005,Жилой комплекс,Верхотурье,"г. Верхотурье, ул. Малышева, д. 28",с 1900 до 1920,Ансамбль,Ансамбль
661720944220006,Ансамбль Николаевского монастыря,Верхотурье,"г. Верхотурье, ул. Воинская, д. 1 ""А""",с 1800 до 1850,Ансамбль,Ансамбль
661720974870005,Усадьба купца А.С. Шарова,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 16",с 1850 до 1880,Ансамбль,Ансамбль
661720974900005,Усадьба Н.А. Сусловой,Екатеринбург,"г. Екатеринбург, ул. Розы Люксембург, д. 50 / ул. Куйбышева, д. 69",с 1920 до 1940,Ансамбль,Ансамбль
661720974950005,"Комплекс ""Городок алюминщиков"" (ЦЖС)",Каменск-Уральский,г. Каменск-Уральский,с 1920 до 1940,Ансамбль,Ансамбль
661720974960006,"Комплекс зданий района ""Красный камень""",Нижний Тагил,"г. Нижний Тагил, район Красный Камень",с 1920 до 1940,Ансамбль,Хорошее
661720975040005,Комплекс жилых домов по пр. Ленина,Нижний Тагил,"г. Нижний Тагил, пр. Ленина",с 1940 до 1960,Ансамбль,Ансамбль
661720975080005,"Дома, построенные в стиле классицизма для заводских служащих Демидова",Нижний Тагил,"г. Нижний Тагил, ул. Кирова, д. 19, 21",с 1800 до 1850,Ансамбль,Ансамбль
661720975090005,"Дома предпринимателя Кокушкина (""Торговый дом Кокушкина и К"")",Нижний Тагил,"г. Нижний Тагил, ул. Карла Маркса, д. 47, 49",период не определен,Ансамбль,Плохое
661720975140006,Здание заводского госпиталя,Нижний Тагил,"г. Нижний Тагил, ул. Горошникова, д. 37",с 1800 до 1850,Ансамбль,Ансамбль
661720975210005,Усадьба управителя Любимова,Нижний Тагил,"г. Нижний Тагил, пр. Ленина, д. 4",период не определен,Ансамбль,Удовлетворительное
661720975240005,Купеческая усадьба,Нижний Тагил,"г. Нижний Тагил, ул. Карла Маркса, д. 3",период не определен,Ансамбль,Ансамбль
661720975590005,Комплекс мельзавода,Камышлов,"г. Камышлов, ул. Пролетарская, д. 66",период не определен,Ансамбль,Ансамбль
661720975770005,Церковь Михаила Архангела,Сухоложский район,"Сухоложский район, с. Новопышминское, ул. Ленина",с 1850 до 1880,Ансамбль,Не доступен
661720976330005,"Училище женское, магазин",Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 113",с 1900 до 1920,Ансамбль,Удовлетворительное
661720976340005,Усадьба купца Воробьева,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 127",с 1880 до 1900,Ансамбль,Ансамбль
661720976350005,"Спортивный комплекс ""Салют"" и Дворец пионеров",Каменск-Уральский,"г. Каменск-Уральский, ул. Каменская, д. 33, д. 34",с 1940 до 1960,Ансамбль,Ансамбль
661720976360005,Преображенский женский монастырь,Каменск-Уральский,"г. Каменск-Уральский, ул. Кирова, д. 18",с 1850 до 1880,Ансамбль,Ансамбль
661720976380005,Усадьба купцов Зыряновых,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, 102 (лит.А,Б)",с 1900 до 1920,Ансамбль,Ансамбль
661720976390005,Усадьба Шамариных,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 95",с 1850 до 1880,Ансамбль,Ансамбль
661720983680005,Гостиный двор,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 118, 120",с 1880 до 1900,Ансамбль,Ансамбль
661720983690005,Усадьба купца Косякова,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина",с 1880 до 1900,Ансамбль,Ансамбль
661720983700005,Усадьба смотрителя завода,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 119",период не определен,Ансамбль,Ансамбль
661720983740006,Комплекс сооружений Сысертского завода,Сысерть,"г. Сысерть, ул. Быкова",с 1800 до 1850,Ансамбль,Не доступен
661720983840005,Усадьба купца Французова,Невьянск,"г. Невьянск, ул. Комсомольская, д. 4",с 1850 до 1880,Ансамбль,Ансамбль
661720983870005,Городская усадьба золотопромышленника Подвинцева,Невьянск,"г. Невьянск, ул. Комсомольская, д. 18",с 1850 до 1880,Ансамбль,Ансамбль
661720983950005,Городская усадьба купца Селянина,Невьянск,"г. Невьянск, ул. Крылова, д. 1",с 1850 до 1880,Ансамбль,Ансамбль
661720986270005,Комплекс торговых заведений,Верхотурье,"г. Верхотурье, ул. Ленина, д. 9-11",с 1850 до 1880,Ансамбль,Не доступен
661720986280005,Склад винный казенный,Верхотурье,"г. Верхотурье, ул. Ленина, д. 13",с 1900 до 1920,Ансамбль,Хорошее
661720986310005,Комплекс,Верхотурье,"г. Верхотурье, ул. Ленина, д. 29, 31",с 1900 до 1920,Ансамбль,Не доступен
661720986390006,Жилые дома,Екатеринбург,"г. Екатеринбург, ул. Малышева, ул. Хохрякова",с 1920 до 1940,Ансамбль,Ансамбль
661720986470005,Усадьба Шумкова,Екатеринбург,"г. Екатеринбург, ул. Красноармейская, д. 37-б",с 1850 до 1880,Ансамбль,Ансамбль
661720986520005,Усадьба ротмистра Ф.А. Переяславцева,Екатеринбург,"г. Екатеринбург, ул. Карла Либкнехта, д. 3",с 1940 до 1960,Ансамбль,Ансамбль
661720986590005,Дом и больница доктора Сяно,Екатеринбург,"Свердловская область. г. Екатеринбург, ул. Карла Либкнехта, д. 2",с 1900 до 1920,Ансамбль,Ансамбль
